class,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker
1,no checking account,18,existing credits paid back duly till now,furniture/equipment,1984,A61,1  <= ... < 4 years,4,male   : single,none,4,unknown / no property,47,bank,for free,2,skilled employee / official,1,none,yes
1,no checking account,60,existing credits paid back duly till now,radio/television,10144,A62,4  <= ... < 7 years,2,female : divorced/separated/married,none,4,real estate,21,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,12,critical account/  other credits existing (not at this bank),radio/television,1240,A65,.. >= 7 years,4,female : divorced/separated/married,none,2,real estate,38,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,27,delay in paying off in the past,car (used),8613,A64,1  <= ... < 4 years,2,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes
2,0 <= ... <  200 DM,12,existing credits paid back duly till now,radio/television,766,A63,1  <= ... < 4 years,4,male   : single,none,3,real estate,66,none,own,1,unskilled - resident,1,none,yes
1,0 <= ... <  200 DM,15,critical account/  other credits existing (not at this bank),radio/television,2728,A65,4  <= ... < 7 years,4,male   : single,guarantor,2,real estate,35,bank,own,3,skilled employee / official,1,"yes, registered under the customers name",yes
1,... >= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,1881,A61,1  <= ... < 4 years,2,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",44,none,rent,1,unskilled - resident,1,"yes, registered under the customers name",yes
1,... >= 200 DM / salary assignments for at least 1 year,6,existing credits paid back duly till now,car (new),709,A64,... < 1 year,2,male   : married/widowed,none,2,real estate,27,none,own,1,unemployed/ unskilled  - non-resident,1,none,no
1,0 <= ... <  200 DM,36,existing credits paid back duly till now,radio/television,4795,A61,... < 1 year,4,female : divorced/separated/married,none,1,unknown / no property,30,none,own,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,... <    0 DM,27,existing credits paid back duly till now,radio/television,3416,A61,1  <= ... < 4 years,3,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,1,management/ self-employed/,1,none,yes
2,... <    0 DM,18,existing credits paid back duly till now,furniture/equipment,2462,A61,1  <= ... < 4 years,2,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",22,none,own,1,skilled employee / official,1,none,yes
1,no checking account,21,critical account/  other credits existing (not at this bank),furniture/equipment,2288,A61,... < 1 year,4,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,23,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,48,all credits at this bank paid back duly,business,3566,A62,4  <= ... < 7 years,4,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",30,none,own,1,skilled employee / official,1,none,yes
1,... <    0 DM,6,critical account/  other credits existing (not at this bank),car (new),860,A61,.. >= 7 years,1,female : divorced/separated/married,none,4,unknown / no property,39,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,12,critical account/  other credits existing (not at this bank),car (new),682,A62,4  <= ... < 7 years,4,female : divorced/separated/married,none,3,"if not A121/A122 : car or other, not in attribute 6",51,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,... <    0 DM,36,critical account/  other credits existing (not at this bank),furniture/equipment,5371,A61,1  <= ... < 4 years,3,male   : single,guarantor,2,if not A121 : building society savings agreement/ life insurance,28,none,own,2,skilled employee / official,1,none,yes
1,no checking account,18,critical account/  other credits existing (not at this bank),radio/television,1582,A64,.. >= 7 years,4,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",46,none,own,2,skilled employee / official,1,none,yes
1,no checking account,6,existing credits paid back duly till now,radio/television,1346,A62,.. >= 7 years,2,male   : single,none,4,unknown / no property,42,bank,for free,1,skilled employee / official,2,"yes, registered under the customers name",yes
1,no checking account,10,existing credits paid back duly till now,radio/television,1924,A61,1  <= ... < 4 years,1,male   : single,none,4,if not A121 : building society savings agreement/ life insurance,38,none,own,1,skilled employee / official,1,"yes, registered under the customers name",no
1,... >= 200 DM / salary assignments for at least 1 year,36,existing credits paid back duly till now,radio/television,5848,A61,1  <= ... < 4 years,4,male   : single,none,1,"if not A121/A122 : car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,24,critical account/  other credits existing (not at this bank),car (used),7758,A64,.. >= 7 years,2,female : divorced/separated/married,none,4,unknown / no property,29,none,rent,1,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,24,delay in paying off in the past,business,6967,A62,4  <= ... < 7 years,4,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",36,none,rent,1,management/ self-employed/,1,"yes, registered under the customers name",yes
2,... <    0 DM,12,existing credits paid back duly till now,furniture/equipment,1282,A61,1  <= ... < 4 years,2,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",20,none,rent,1,skilled employee / official,1,none,yes
1,... <    0 DM,9,critical account/  other credits existing (not at this bank),repairs,1288,A62,.. >= 7 years,3,male   : single,guarantor,4,real estate,48,none,own,2,skilled employee / official,2,none,no
1,... <    0 DM,12,all credits at this bank paid back duly,retraining,339,A61,.. >= 7 years,4,male   : married/widowed,none,1,"if not A121/A122 : car or other, not in attribute 6",45,bank,own,1,unskilled - resident,1,none,yes
1,0 <= ... <  200 DM,24,existing credits paid back duly till now,car (new),3512,A62,4  <= ... < 7 years,2,male   : single,none,3,"if not A121/A122 : car or other, not in attribute 6",38,bank,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,6,critical account/  other credits existing (not at this bank),radio/television,1898,A65,1  <= ... < 4 years,1,male   : single,none,2,real estate,34,none,own,2,unskilled - resident,2,none,yes
1,no checking account,24,critical account/  other credits existing (not at this bank),radio/television,2872,A62,.. >= 7 years,3,male   : single,none,4,real estate,36,none,own,1,skilled employee / official,2,"yes, registered under the customers name",yes
1,no checking account,18,critical account/  other credits existing (not at this bank),car (new),1055,A61,... < 1 year,4,female : divorced/separated/married,none,1,if not A121 : building society savings agreement/ life insurance,30,none,own,2,skilled employee / official,1,none,yes
1,no checking account,15,existing credits paid back duly till now,domestic appliances,1262,A63,4  <= ... < 7 years,4,male   : single,none,3,if not A121 : building society savings agreement/ life insurance,36,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,10,existing credits paid back duly till now,car (new),7308,A61,unemployed,2,male   : single,none,4,unknown / no property,70,bank,for free,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,no checking account,36,existing credits paid back duly till now,car (new),909,A63,.. >= 7 years,4,male   : single,none,4,if not A121 : building society savings agreement/ life insurance,36,none,own,1,skilled employee / official,1,none,yes
1,no checking account,6,existing credits paid back duly till now,furniture/equipment,2978,A63,1  <= ... < 4 years,1,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",32,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
2,... <    0 DM,18,existing credits paid back duly till now,furniture/equipment,1131,A61,unemployed,4,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",33,none,own,1,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,11,existing credits paid back duly till now,furniture/equipment,1577,A64,... < 1 year,4,female : divorced/separated/married,none,1,real estate,20,none,own,1,skilled employee / official,1,none,yes
1,no checking account,24,existing credits paid back duly till now,furniture/equipment,3972,A61,4  <= ... < 7 years,2,female : divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,25,none,rent,1,skilled employee / official,1,"yes, registered under the customers name",yes
2,0 <= ... <  200 DM,24,critical account/  other credits existing (not at this bank),business,1935,A61,.. >= 7 years,4,male   : divorced/separated,none,4,real estate,31,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
2,... <    0 DM,15,no credits taken/ all credits paid back duly,car (new),950,A61,.. >= 7 years,4,male   : single,none,3,"if not A121/A122 : car or other, not in attribute 6",33,none,rent,2,skilled employee / official,2,none,yes
1,no checking account,12,existing credits paid back duly till now,furniture/equipment,763,A61,1  <= ... < 4 years,4,female : divorced/separated/married,none,1,real estate,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
2,0 <= ... <  200 DM,24,delay in paying off in the past,furniture/equipment,2064,A61,unemployed,3,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,34,none,own,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,8,existing credits paid back duly till now,radio/television,1414,A61,1  <= ... < 4 years,4,male   : single,guarantor,2,real estate,33,none,own,1,skilled employee / official,1,none,no
2,... <    0 DM,21,delay in paying off in the past,education,3414,A61,... < 1 year,2,male   : single,none,1,if not A121 : building society savings agreement/ life insurance,26,none,own,2,skilled employee / official,1,none,yes
2,no checking account,30,all credits at this bank paid back duly,car (used),7485,A65,unemployed,4,female : divorced/separated/married,none,1,real estate,53,bank,own,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,... <    0 DM,12,existing credits paid back duly till now,furniture/equipment,2577,A61,1  <= ... < 4 years,2,male   : divorced/separated,none,1,"if not A121/A122 : car or other, not in attribute 6",42,none,own,1,skilled employee / official,1,none,yes
1,... <    0 DM,6,critical account/  other credits existing (not at this bank),radio/television,338,A63,.. >= 7 years,4,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",52,none,own,2,skilled employee / official,1,none,yes
